target_child_name,speaker_role,type,grouped_age_interval,start_age_in_months,num_senses,multiple_senses
Naima,Caregiver,pretty+a,"(18,24]",18,1,FALSE
Naima,Caregiver,pretty+r,"(12,18]",12,1,FALSE
Naima,Caregiver,pretty+r,"(18,24]",18,1,FALSE
Naima,Caregiver,pretty+r,"(24,30]",24,1,FALSE
Naima,Caregiver,pretty+r,"(30,36]",30,1,FALSE
Naima,Caregiver,pretty+r,"(36,42]",36,1,FALSE
Naima,Caregiver,pretty+r,"(42,48]",42,1,FALSE
Naima,Caregiver,pudding+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pudding+n,"(24,30]",24,2,TRUE
Naima,Caregiver,pudding+n,"(30,36]",30,1,FALSE
Naima,Caregiver,pull+v,"(12,18]",12,2,TRUE
Naima,Caregiver,pull+v,"(18,24]",18,4,TRUE
Naima,Caregiver,pull+v,"(24,30]",24,2,TRUE
Naima,Caregiver,pull+v,"(30,36]",30,2,TRUE
Naima,Caregiver,pull+v,"(36,42]",36,1,FALSE
Naima,Caregiver,pumpkin+n,"(18,24]",18,1,FALSE
Naima,Caregiver,pumpkin+n,"(24,30]",24,1,FALSE
Naima,Caregiver,pumpkin+n,"(30,36]",30,2,TRUE
Naima,Caregiver,puppy+n,"(12,18]",12,1,FALSE
Naima,Caregiver,puppy+n,"(18,24]",18,1,FALSE
Naima,Caregiver,puppy+n,"(24,30]",24,1,FALSE
Naima,Caregiver,puppy+n,"(30,36]",30,1,FALSE
Naima,Caregiver,puppy+n,"(42,48]",42,1,FALSE
Naima,Caregiver,purse+n,"(18,24]",18,2,TRUE
Naima,Caregiver,purse+n,"(30,36]",30,1,FALSE
Naima,Caregiver,push+v,"(18,24]",18,1,FALSE
Naima,Caregiver,push+v,"(24,30]",24,1,FALSE
Naima,Caregiver,push+v,"(30,36]",30,1,FALSE
Naima,Caregiver,put+v,"(12,18]",12,2,TRUE
Naima,Caregiver,put+v,"(18,24]",18,2,TRUE
Naima,Caregiver,put+v,"(24,30]",24,2,TRUE
Naima,Caregiver,put+v,"(30,36]",30,4,TRUE
Naima,Caregiver,put+v,"(36,42]",36,1,FALSE
Naima,Caregiver,put+v,"(42,48]",42,1,FALSE
Naima,Caregiver,puzzle+n,"(18,24]",18,2,TRUE
Naima,Caregiver,puzzle+n,"(24,30]",24,1,FALSE
Naima,Caregiver,puzzle+n,"(30,36]",30,1,FALSE
Naima,Caregiver,puzzle+n,"(36,42]",36,2,TRUE
Naima,Caregiver,quiet+a,"(12,18]",12,1,FALSE
Naima,Caregiver,quiet+a,"(18,24]",18,1,FALSE
Naima,Caregiver,quiet+a,"(30,36]",30,2,TRUE
Naima,Caregiver,quiet+n,"(12,18]",12,1,FALSE
Naima,Caregiver,quiet+n,"(18,24]",18,1,FALSE
Naima,Caregiver,quiet+n,"(24,30]",24,1,FALSE
Naima,Caregiver,quiet+n,"(30,36]",30,1,FALSE
Naima,Caregiver,radio+n,"(18,24]",18,3,TRUE
Naima,Caregiver,radio+n,"(24,30]",24,1,FALSE
Naima,Caregiver,rain+n,"(18,24]",18,2,TRUE
Naima,Caregiver,rain+n,"(24,30]",24,2,TRUE
Naima,Caregiver,rain+n,"(30,36]",30,2,TRUE
Naima,Caregiver,rain+v,"(24,30]",24,1,FALSE
Naima,Caregiver,raisin+n,"(12,18]",12,1,FALSE
Naima,Caregiver,raisin+n,"(18,24]",18,1,FALSE
Naima,Caregiver,raisin+n,"(24,30]",24,1,FALSE
Naima,Caregiver,read+v,"(12,18]",12,3,TRUE
Naima,Caregiver,read+v,"(18,24]",18,3,TRUE
Naima,Caregiver,read+v,"(24,30]",24,4,TRUE
Naima,Caregiver,read+v,"(30,36]",30,3,TRUE
Naima,Caregiver,read+v,"(36,42]",36,2,TRUE
Naima,Caregiver,read+v,"(42,48]",42,1,FALSE
Naima,Caregiver,red+a,"(12,18]",12,1,FALSE
Naima,Caregiver,red+a,"(18,24]",18,1,FALSE
Naima,Caregiver,red+a,"(24,30]",24,1,FALSE
Naima,Caregiver,red+a,"(30,36]",30,1,FALSE
Naima,Caregiver,red+a,"(36,42]",36,1,FALSE
Naima,Caregiver,red+a,"(42,48]",42,1,FALSE
Naima,Caregiver,red+n,"(12,18]",12,1,FALSE
Naima,Caregiver,red+n,"(18,24]",18,1,FALSE
Naima,Caregiver,red+n,"(24,30]",24,1,FALSE
Naima,Caregiver,red+n,"(30,36]",30,1,FALSE
Naima,Caregiver,red+n,"(42,48]",42,1,FALSE
Naima,Caregiver,refrigerator+n,"(12,18]",12,1,FALSE
Naima,Caregiver,refrigerator+n,"(18,24]",18,1,FALSE
Naima,Caregiver,refrigerator+n,"(24,30]",24,1,FALSE
Naima,Caregiver,refrigerator+n,"(30,36]",30,1,FALSE
Naima,Caregiver,ride+n,"(12,18]",12,1,FALSE
Naima,Caregiver,ride+n,"(18,24]",18,1,FALSE
Naima,Caregiver,ride+n,"(24,30]",24,1,FALSE
Naima,Caregiver,ride+n,"(30,36]",30,1,FALSE
Naima,Caregiver,ride+v,"(12,18]",12,2,TRUE
Naima,Caregiver,ride+v,"(18,24]",18,3,TRUE
Naima,Caregiver,ride+v,"(24,30]",24,2,TRUE
Naima,Caregiver,rip+v,"(18,24]",18,1,FALSE
Naima,Caregiver,roof+n,"(18,24]",18,1,FALSE
Naima,Caregiver,roof+n,"(24,30]",24,1,FALSE
Naima,Caregiver,roof+n,"(30,36]",30,1,FALSE
Naima,Caregiver,room+n,"(12,18]",12,3,TRUE
Naima,Caregiver,room+n,"(18,24]",18,2,TRUE
Naima,Caregiver,room+n,"(24,30]",24,3,TRUE
Naima,Caregiver,room+n,"(30,36]",30,2,TRUE
Naima,Caregiver,room+n,"(36,42]",36,1,FALSE
Naima,Caregiver,room+n,"(42,48]",42,1,FALSE
Naima,Caregiver,rooster+n,"(24,30]",24,1,FALSE
Naima,Caregiver,rooster+n,"(30,36]",30,1,FALSE
Naima,Caregiver,run+n,"(12,18]",12,1,FALSE
Naima,Caregiver,run+n,"(18,24]",18,1,FALSE
Naima,Caregiver,run+n,"(30,36]",30,1,FALSE
Naima,Caregiver,run+v,"(12,18]",12,1,FALSE
Naima,Caregiver,run+v,"(18,24]",18,5,TRUE
Naima,Caregiver,run+v,"(24,30]",24,2,TRUE
Naima,Caregiver,run+v,"(30,36]",30,1,FALSE
Naima,Caregiver,sad+a,"(24,30]",24,1,FALSE
Naima,Caregiver,sad+a,"(30,36]",30,2,TRUE
Naima,Caregiver,sad+a,"(36,42]",36,1,FALSE
Naima,Caregiver,salt+n,"(18,24]",18,1,FALSE
Naima,Caregiver,salt+n,"(24,30]",24,1,FALSE
Naima,Caregiver,salt+n,"(30,36]",30,1,FALSE
Naima,Caregiver,same+a,"(12,18]",12,3,TRUE
Naima,Caregiver,same+a,"(18,24]",18,3,TRUE
Naima,Caregiver,same+a,"(24,30]",24,3,TRUE
Naima,Caregiver,same+a,"(30,36]",30,4,TRUE
Naima,Caregiver,same+a,"(36,42]",36,1,FALSE
Naima,Caregiver,same+a,"(42,48]",42,1,FALSE
Naima,Caregiver,sandwich+n,"(18,24]",18,1,FALSE
Naima,Caregiver,sandwich+n,"(24,30]",24,1,FALSE
Naima,Caregiver,sandwich+n,"(30,36]",30,1,FALSE
Naima,Caregiver,sauce+n,"(18,24]",18,1,FALSE
Naima,Caregiver,sauce+n,"(24,30]",24,1,FALSE
Naima,Caregiver,sauce+n,"(36,42]",36,1,FALSE
Naima,Caregiver,say+v,"(12,18]",12,4,TRUE
Naima,Caregiver,say+v,"(18,24]",18,8,TRUE
